Activity Number,ISIC Code,License Type,Activity Name,Description
AM-03782,4662002,Commercial,Steel & Basic Steel Products Trading – Import & Export,"Trading of semi-iron products made, processed or unprocessed from blocks, sections, plates, bars, sheets or alloys made of iron for various uses."
AM-03783,4669225,Commercial,Organic Fertilizer & Plant Feed Trading - Import & Export,"Commercial enterprises that trade in bulk include the sale of animal waste, such as animal dung, birds, plant residues or a mixture of animal waste, which is suitable for use to improve soil properties, provided they are in their original state or after some changes or transformations have been made to make them marketable, used or to increase their effectiveness in enriching agricultural soils, as well as reselling agricultural interests, namely materials and microorganisms added to the soil to improve their properties and increase crop production."
AM-03785,4329901,Services,General cleaning of buildings,"Companies which provide interior, exterior and outer areas cleaning to residential buildings and governmental and professional premises , it excludes providing domestic workers who perform as cooks, gardeners, housekeepers, laundress, caring for children and elderly, it also excludes providing these workers to conduct cleaning residential buildings on temporary basis."
AM-03787,4220904,Services,Electrical and structural contracting,Electrical and structural contracting
AM-03788,4321009,Services,Installation and maintenance services,Installation and maintenance services
AM-03789,910018,Services,"Oil and gas fields, land and sea services and Utilities","Providing services, construction, supply or catering to petroleum companies"
AM-03790,4773509,Commercial,led lighting trading,Led lighting trading
AM-03793,8211013,Services,Facility Management,"Manage and operate public utilities (this includes public toilets, whether they are in the streets and parks or inside facilities such as shopping centers, service stations and train stations), and it includes carrying out cleaning work and providing the necessary health requirements for a fee paid by its users."
AM-03794,56211003,Services,Hospitality Management Service,"Management firms specialized in taking care of or serving the guests in the personal and corporate events such as weddings, birthdays, exhibitions, meetings, as well as receiving visitors at airports."
AM-03797,4774002,Commercial,Jewellery Trading Import & Export,Jewellery Trading
AM-03798,4649026,Commercial,Wholesale of Perfume Trading,Local and foreign perfume trade This activity includes mixing perfumes in a manual way in order to reach specialized types of local perfumes. .
AM-03851,4741012,Commercial,SIM Trading,"Sale of electronic service cards with specialized tasks such as plastic membership cards, magnetic cards with magnetic stripe used in opening doors or in ATMs, credit cards and the like, and also includes smart cards and regular phone cards"
AM-03853,5610004,Services,Shisha café,Shisha café
